Reeba,83,6,7,1
Alene,71,8,1,3
Cesaro,81,1,6,3
Rhys,94,4,1,0
Donella,88,7,8,1
Mandi,97,2,6,10
Carin,92,9,5,6
Burk,94,1,2,10
Theobald,87,5,7,9
Archaimbaud,89,9,3,6
Clark,82,1,9,8
Nicky,97,2,6,6
Vanya,100,7,8,8
Benn,72,2,9,9
Annabela,98,3,7,8
Farlie,75,1,4,17
Angelique,91,3,6,13
Nissa,100,5,7,11
Ardelia,93,8,9,13
Matt,98,5,1,19
Keslie,97,3,2,14
Cathrine,71,2,5,14
Timotheus,96,3,6,20
Nichole,91,6,4,20
Pepi,96,7,9,20
Melonie,79,6,3,17
Carling,87,3,4,12
Cobby,72,6,9,15
Alene,84,2,5,14
Sanford,76,8,9,16
Ezequiel,93,7,9,19
Etheline,74,2,5,11
Margaret,97,7,3,18
Hervey,70,9,8,14
Smith,91,8,4,19
Stefa,92,2,4,16
Reeba,79,2,7,16
Wakefield,100,8,5,11
Daniel,72,5,6,14
Flo,88,8,9,17
Gladys,99,1,5,14
Hobart,77,5,7,18
Tye,76,8,1,19
Micheil,89,1,8,11
Kaycee,99,8,9,13
Ivett,82,1,6,25
Basilio,87,1,7,28
Leona,77,2,3,24
Henrieta,97,7,1,22
Tyrus,85,7,3,24
Fidelio,76,4,7,28
Hyacintha,82,7,4,25
Tamqrah,90,3,7,29
Annice,94,4,6,29
Tyson,81,9,8,23
Shannah,75,4,2,29
Merissa,91,3,9,22
Jethro,83,5,3,29
Daniel,94,3,4,27
Vinnie,100,6,9,30
Haywood,75,5,6,21
Cami,92,4,7,28
Andromache,76,1,8,26
"Dee dee",76,1,2,23
Ardelia,72,9,7,24
Octavia,100,9,2,23
Yankee,93,7,2,29
Etti,84,6,2,24
Evaleen,93,3,6,23
Susanne,72,3,1,21
Lazar,100,3,9,26
Evaleen,77,1,5,28
Coleen,73,2,6,26
Mead,98,9,8,28
Hube,87,9,1,24
Marika,89,6,4,37
Hedvig,85,6,5,38
Trenna,81,1,4,37
"Dee dee",98,7,6,31
Valentijn,87,9,6,32
Jethro,92,2,7,32
Annamarie,78,6,7,36
Pepi,82,1,6,38
Cobby,96,9,4,37
Mariquilla,97,2,8,37
Eyde,94,9,2,33
Roscoe,98,7,5,38
Retha,74,8,3,34
Darrin,88,8,9,35
Guenna,77,9,7,34
Valentina,84,2,7,38
Deborah,91,4,9,33
Zebedee,82,5,9,34
Kayley,93,3,7,33
Hester,93,9,6,39
Devin,94,2,7,39
Cordelie,100,5,4,37
Ofilia,89,2,4,33
Sylas,74,8,3,35
Jacquette,99,2,4,34
Tresa,91,8,1,39
Magda,73,8,3,39
Nanon,79,8,2,32
Catharine,90,4,8,38
Earle,98,1,6,34
Bjorn,89,4,2,44
Annabela,81,8,7,43
Burk,98,4,2,41
Georgetta,78,5,8,41
Penny,74,9,3,45
Merissa,89,9,6,42
Kaycee,84,4,2,43
Arie,84,3,8,42
Ailee,91,3,8,41
Christin,79,5,8,45
Clemens,93,8,4,48
Maude,79,4,1,49
Carolynn,72,9,5,49
Ainsley,87,5,3,49
Bibby,75,7,8,50