Roshelle,100,6,5,1
Cody,91,3,8,3
Tadeas,93,7,5,6
Karoly,58,9,6,8
Shayna,63,10,7,11
Natasha,54,7,2,13
Barn,63,8,9,16
Marna,56,9,1,18
Roda,77,9,8,21
Jone,100,5,8,23
Koressa,81,8,3,26
Debra,78,8,2,28
Saidee,59,5,8,31
Annaliese,94,1,7,33
Dillie,95,6,9,36
Hillyer,56,7,8,38
Phyllis,89,8,9,41
Jocko,74,9,1,43
Allison,97,6,6,46
Claudina,83,3,5,48
Thaxter,63,7,10,1
Andros,83,3,2,3
Pearle,71,7,8,6
Alfonso,63,7,1,8
Willyt,89,5,3,11
Roman,94,1,2,13
Harlan,81,8,7,16
Scotty,86,6,9,18
Dorotea,52,8,7,21
Rosanne,79,4,7,23
Jeni,64,7,4,26
Tabbie,78,4,10,28
Angeli,72,10,3,31
Benjamen,88,4,3,33
Tailor,70,9,1,36
Virge,58,5,3,38
Aurea,67,6,6,41
Marina,58,10,1,43
Cleo,99,4,5,46
Leonora,68,2,2,48
Hebert,75,7,4,1
Nevile,84,5,10,3
Fredric,95,8,7,6
Antonia,77,8,2,8
Angelo,55,10,4,11
Jacquie,57,2,9,13
Ezequiel,90,8,7,16
Marieann,59,6,1,18
Maybelle,87,1,8,21
Erinn,80,1,10,23
Ruttger,98,8,10,26
Philip,56,7,5,28
Norman,51,5,8,31
Pebrook,94,4,2,33
Hailey,79,5,7,36
Laverne,83,10,6,38
Dina,65,1,7,41
Reagen,98,10,8,43
Modestine,85,5,2,46
Ami,90,2,2,48
Veronica,55,10,9,1
Parnell,56,6,3,3
Gonzalo,58,6,1,6
Janeta,54,8,2,8
Roderick,98,7,1,11
Lettie,75,8,5,13
Kelsy,59,10,1,16
Aurora,66,2,4,18
Osmund,87,3,3,21
Madelyn,93,10,3,23
Jade,82,9,3,26
Enriqueta,79,4,9,28
Peter,98,10,5,31
Stacee,94,9,7,33
Kaleena,67,3,8,36
Alina,54,2,9,38
Annemarie,87,2,9,41
Ashlin,64,2,6,43
Benoit,57,9,6,46
Annmarie,53,4,3,48
Che,94,8,2,1
Tanny,76,7,9,3
Jeanie,76,1,10,6
Laina,61,8,10,8
Gipsy,89,9,2,11
Rick,58,10,5,13
Moshe,80,3,5,16
Liva,83,1,3,18
Sebastiano,87,3,10,21
Boyd,61,4,4,23
Falkner,61,2,7,26
Elmer,61,3,8,28
Dario,51,10,2,31
Brooke,75,5,4,33
Blancha,72,6,8,36
Mariette,92,1,8,38
Emlyn,58,10,6,41
Erick,93,10,2,43
Lusa,68,10,2,46
Gretel,93,9,9,48
Drud,79,1,10,1
Warner,51,4,2,3
Arny,70,3,2,6
Arnaldo,89,10,3,8
Paulette,92,1,7,11
Lesley,93,4,1,13
Ethelyn,53,9,7,16
Jane,83,7,7,18
Veronike,50,7,10,21
Natalee,57,7,9,23
Arabel,51,4,3,26
Henrieta,54,6,2,28
Ruthann,80,8,2,31
Kendal,98,8,1,33
Rodrigo,81,5,6,36
Zorine,59,5,9,38
Ferdie,84,10,4,41
Biddy,79,6,9,43
Orran,97,7,3,46
Maurice,74,9,9,48
Darill,67,1,4,1
Berry,61,5,3,3
Tonia,71,2,5,6
Claribel,98,5,2,8
Marcile,94,8,10,11
Milicent,85,6,8,13
Dore,74,4,3,16
Harcourt,77,4,10,18
Otha,68,1,10,21
Ted,94,8,7,23
Guthrie,81,5,7,26
Tybie,53,2,10,28
Angy,72,6,1,31
Sal,68,2,8,33
Hamnet,89,3,5,36
Lon,52,1,6,38
Kameko,70,4,3,41
Kim,89,1,10,43
Elora,96,5,7,46
Boot,67,5,2,48
Bendix,92,5,1,1
Celie,72,3,4,3
Kilian,63,1,1,6
Tersina,76,8,4,8
Elonore,84,2,10,11
Lela,100,9,8,13
Susanne,68,5,10,16
Evelin,78,5,7,18
Jarret,54,2,3,21
Nanete,82,3,9,23
Sib,80,1,6,26
Rosemarie,98,9,2,28
Berri,59,10,4,31
Juline,93,2,7,33
Rabbi,82,9,5,36
Ula,58,5,1,38
Dennis,83,6,5,41
Samaria,89,7,7,43
Spike,64,6,5,46
Bev,82,9,8,48
Marilee,52,5,1,1
Nicolais,59,8,5,3
Glennis,70,1,1,6
Keene,80,2,9,8
Bo,71,8,4,11
Kamillah,70,5,5,13
Alie,83,8,1,16
Nicol,68,8,4,18
Gavin,73,9,10,21
Wallie,66,8,7,23
Chaim,85,2,4,26
Jo-ann,56,5,1,28
Roscoe,60,6,2,31
Leroi,92,3,8,33
Dannie,55,6,8,36
Gauthier,75,7,5,38
Iris,97,3,2,41
Lyndsey,70,9,3,43
Goldy,86,3,7,46
Sadella,98,10,7,48
Kimberly,71,5,7,1
Wini,75,7,3,3
Ancell,63,9,1,6
Marcia,82,1,5,8
Lucinda,90,5,5,11
Shelia,100,3,1,13
Humfrey,80,5,6,16
Haley,79,1,9,18
Larry,97,9,1,21
Paxon,97,8,8,23
Clari,84,10,3,26
Gael,87,8,4,28
Kelsy,94,7,2,31
Moll,85,8,10,33
Cleopatra,60,10,1,36
Andrea,85,9,3,38
Linet,65,5,6,41
Dyanna,61,8,1,43
Roldan,84,9,1,46
Lynna,99,6,1,48
Tiffany,53,7,7,1
Natty,66,6,4,3
Tudor,75,5,6,6
Tallie,98,3,9,8
Cameron,76,6,3,11
Benito,65,8,7,13
Mellie,77,9,6,16
Tierney,60,6,2,18
Dallas,62,1,7,21
Morissa,77,4,3,23
Paten,51,3,7,26
Fonsie,72,4,5,28
Truda,68,3,5,31
Horten,68,10,7,33
Rosemonde,57,2,9,36
Gwenny,62,1,5,38
Gorden,63,9,5,41
Angelica,83,1,7,43
Sammie,66,4,9,46
Lem,95,2,7,48
Shandie,59,6,1,1
Ed,90,3,4,3
Vladamir,58,5,5,6
Frank,79,2,9,8
Lorilyn,57,1,1,11
Luca,79,2,4,13
Ranique,70,6,5,16
Udell,67,2,10,18
Shawnee,94,8,9,21
Livia,57,6,2,23
Ava,95,8,7,26
Giordano,75,4,9,28
Linnell,63,8,4,31
Michal,76,9,4,33
Judi,71,9,10,36
Roch,79,10,8,38
Pollyanna,54,7,5,41
Magda,83,4,7,43
Quentin,97,2,4,46
Sonnie,68,3,10,48
Carroll,57,6,7,1
Brand,74,9,7,3
Shepperd,57,1,5,6
Paten,83,6,5,8
Flin,60,7,4,11
Royall,84,5,3,13
Marti,88,10,10,16
Emmett,82,8,4,18
Wilhelmine,75,3,1,21
Tawsha,68,10,1,23
Tomasina,50,7,8,26
Clem,67,10,2,28
Cos,72,8,4,31
Annmaria,54,6,8,33
Gabbie,76,3,3,36
Barbe,62,3,6,38
Cassi,95,3,3,41
Stefa,81,2,1,43
Wayland,60,7,4,46
Perren,86,10,1,48
Petronia,51,1,5,1
Thacher,93,10,7,3
Josepha,95,8,7,6
Munroe,100,10,9,8
Kaylyn,99,9,9,11
Berkly,55,9,10,13
Simonette,60,4,2,16
Dicky,76,3,8,18
Nariko,79,1,9,21
Tierney,90,4,3,23
Bradney,86,4,8,26
Valry,79,2,4,28
Ruttger,82,7,1,31
Maureene,76,5,2,33
Fabiano,55,2,5,36
Darlleen,66,9,10,38
Shaylah,56,9,5,41
Joachim,98,10,10,43
Curcio,73,2,5,46
Ariela,93,9,6,48
Torey,77,8,3,1
Kyle,61,8,8,3
Christie,88,5,5,6
Dilan,76,3,8,8
Jacinthe,85,9,5,11
Stoddard,64,7,1,13
Monica,59,7,5,16
Nickey,70,2,9,18
Euell,78,2,1,21
Flor,72,6,9,23
Vittoria,99,8,8,26
Deeanne,80,8,2,28
Harris,78,7,4,31
Jerad,64,10,4,33
Lauraine,62,9,2,36
Gregoire,66,8,6,38
Sasha,75,10,2,41
Nari,51,10,7,43
Gregoire,86,1,4,46
Gustie,83,5,10,48
Blanca,96,2,10,1
Cos,89,10,5,3
Tally,61,5,3,6
Minerva,92,3,10,8
Kristien,55,6,4,11
Gerrie,53,2,2,13
Agnola,78,5,5,16
Jobye,83,1,3,18
Karil,72,4,6,21
Julie,94,10,8,23
Shelly,70,10,5,26
Shandeigh,93,10,10,28
Angelina,66,4,10,31
Derril,76,6,3,33
Vassily,83,8,3,36
Kent,56,9,5,38
Karel,77,3,5,41
Dolorita,71,6,2,43
Farlee,72,4,8,46
Sheelagh,70,5,5,48
Cynthia,89,7,7,1
Gay,85,6,1,3
Monte,51,5,8,6
Saba,77,3,2,8
Bobbie,57,8,1,11
Giles,58,5,7,13
Karon,99,4,3,16
Geralda,52,10,2,18
Skye,58,9,7,21
Ebonee,92,2,9,23
Fulton,74,4,4,26
Kele,79,10,6,28
Raymond,89,5,9,31
Lionello,94,7,6,33
Clarisse,67,3,6,36
Hadley,88,10,1,38
Valene,82,5,9,41
Amata,58,7,6,43
Locke,80,2,3,46
Althea,95,7,7,48
Shina,76,7,8,1
Barrie,83,4,9,3
Micaela,72,4,2,6
Freddy,76,1,3,8
Harrie,68,2,9,11
Rhona,57,3,5,13
Hermione,57,8,7,16
Gerrie,79,3,2,18
Marcy,67,10,1,21
Desi,81,8,1,23
Janelle,85,5,7,26
Orlan,65,7,2,28
Pavla,90,9,10,31
Lynnea,59,3,10,33
Angeli,50,9,4,36
Marissa,89,8,5,38
Stephie,51,8,8,41
Ruben,66,9,3,43
Bailey,58,3,10,46
Gaston,57,1,6,48
Simone,95,5,2,1
Elisha,73,5,1,3
Adda,54,10,10,6
Prent,89,10,3,8
Glendon,65,6,7,11
Martina,69,5,4,13
Brita,81,2,10,16
Gussi,65,9,7,18
Abbey,82,8,10,21
Thurston,82,7,3,23
Flori,85,8,7,26
Drusilla,74,3,3,28
Goldina,61,6,5,31
Ellette,90,8,9,33
Lynett,57,6,3,36
George,89,4,7,38
Crystal,58,2,3,41
Alexandre,89,5,1,43
La verne,70,3,6,46
Kathie,100,3,4,48
Ardella,55,5,5,1
Andriana,51,6,2,3
Maryrose,95,7,8,6
Jeramey,59,1,3,8
Kaylyn,56,2,10,11
Nady,78,5,7,13
Kelly,64,6,9,16
Daphna,86,6,3,18
Celestia,77,7,10,21
Pierre,52,9,9,23
Pietra,84,3,6,26
Mallissa,75,2,8,28
Ximenes,76,4,7,31
Hana,75,3,6,33
Hernando,55,5,1,36
Gauthier,61,10,9,38
Shannon,99,6,2,41
Lorant,93,8,5,43
Leanna,65,1,8,46
Kippy,91,3,9,48
Maryellen,54,5,7,1
Frasier,80,5,5,3
Briggs,92,6,6,6
Rutger,84,6,4,8
Barb,100,8,3,11
Bonny,100,2,1,13
Carmelita,56,5,9,16
Nanon,93,9,10,18
Darice,70,6,7,21
Beryle,77,5,4,23
Tabb,89,2,2,26
Sharline,79,10,3,28
Lavinia,80,8,6,31
Emlynne,93,4,1,33
Tessie,81,1,7,36
Thomasin,83,10,8,38
Cecilius,87,3,9,41
Rodger,87,9,1,43
Shellysheldon,65,8,3,46
Izabel,84,8,3,48
Emmy,81,1,2,1
Craggy,85,2,9,3
Terri,70,10,1,6
Giacobo,69,4,7,8
Nollie,59,2,5,11
Wells,74,2,8,13
Ariela,71,7,5,16
Renelle,65,6,9,18
Aurore,58,2,5,21
Leanor,64,3,4,23
Blakelee,94,2,4,26
Georas,82,6,2,28
Wilfrid,72,2,9,31
Frazier,58,10,2,33
Olympe,67,2,3,36
Kerri,99,9,10,38
Maribeth,86,5,5,41
Gearalt,74,1,6,43
Arri,58,3,7,46
Sayre,84,1,6,48
Zackariah,89,6,1,1
Barr,72,9,10,3
Quinlan,79,2,5,6
Artur,64,10,4,8
Orsa,95,4,2,11
Hannie,60,6,10,13
Micki,86,7,1,16
Mariam,59,3,1,18
Homere,75,3,7,21
Marshal,70,7,8,23
Emmalyn,63,2,10,26
Gabrielle,84,3,6,28
Rakel,81,6,3,31
Shalne,79,6,4,33
Dall,85,8,9,36
Lydon,95,10,9,38
Constanta,88,1,10,41
Gaylene,98,2,10,43
Demetris,97,8,4,46
Netti,72,1,6,48
Kikelia,77,4,1,1
Noami,91,9,8,3
Georas,88,7,4,6
Nada,89,1,6,8
Shawna,90,3,3,11
Ebenezer,91,10,10,13
Engracia,75,4,3,16
Jacquenette,90,1,9,18
Constantina,98,2,2,21
Annecorinne,82,4,8,23
Pen,55,9,6,26
Melisse,76,3,5,28
Delainey,57,3,8,31
Hynda,82,6,10,33
Jo-ann,77,2,3,36
Letisha,65,1,4,38
Mirabel,92,6,2,41
Kellen,57,5,10,43
Cele,91,10,4,46
Cornie,59,5,8,48
Karrah,60,2,4,1
Tamera,98,1,7,3
Dixie,65,10,9,6
Enrichetta,53,3,6,8
Gerrie,53,9,4,11
Dolley,67,6,10,13
Jermain,54,2,2,16
Arly,97,6,5,18
Stern,69,5,5,21
Lammond,88,5,10,23
Elianora,96,7,10,26
Bartlett,67,9,6,28
Skip,79,8,7,31
Thorvald,59,4,5,33
Eleanora,81,10,2,36
Lydia,99,2,10,38
Shayne,73,8,4,41
Dyna,64,5,1,43
Tedda,86,8,8,46
Bernita,65,6,3,48